order_id,customer_id,order_date,product,category,quantity,unit_price,discount_pct,revenue
ORD621430,CUST0135,2023-01-21,External SSD,Storage,1,1100000,0,1100000.0
ORD164820,CUST0760,2024-10-25,4K Monitor,Electronics,4,4500000,20,14400000.0
ORD314176,CUST0699,2023-07-11,USB-C Hub,Accessories,2,350000,0,700000.0
ORD484681,CUST0189,2024-04-19,Smart Speaker,Audio,1,900000,0,900000.0
ORD373538,CUST0953,2024-07-20,Mechanical Keyboard,Peripherals,4,1200000,15,4080000.0
ORD339931,CUST0425,2023-10-01,Smart Speaker,Audio,3,900000,5,2565000.0
ORD778843,CUST0139,2023-12-06,Desk Lamp LED,Accessories,1,250000,0,250000.0
ORD824839,CUST0179,2023-03-22,Mechanical Keyboard,Peripherals,2,1200000,10,2160000.0
ORD302283,CUST0154,2024-04-21,USB-C Hub,Accessories,2,350000,15,595000.0
ORD679879,CUST0811,2024-12-27,External SSD,Storage,2,1100000,10,1980000.0
ORD616588,CUST0546,2023-08-05,Gaming Chair,Furniture,4,3200000,0,12800000.0
ORD233767,CUST0644,2024-06-04,Laptop Pro X1,Electronics,1,12000000,0,12000000.0
ORD112666,CUST0668,2024-11-05,Laptop Pro X1,Electronics,4,12000000,0,48000000.0
ORD475713,CUST0130,2023-05-15,Smart Speaker,Audio,4,900000,0,3600000.0
ORD373109,CUST0134,2023-04-09,External SSD,Storage,1,1100000,15,935000.0
ORD314020,CUST0170,2024-04-06,Gaming Chair,Furniture,3,3200000,5,9120000.0
ORD318969,CUST0588,2024-01-28,Webcam HD,Peripherals,3,750000,0,2250000.0
ORD974371,CUST0039,2024-07-17,Webcam HD,Peripherals,1,750000,15,637500.0
ORD979858,CUST0090,2023-06-09,4K Monitor,Electronics,1,4500000,0,4500000.0
ORD867595,CUST0874,2024-10-07,Smart Speaker,Audio,1,900000,0,900000.0
ORD487261,CUST0807,2023-12-14,Desk Lamp LED,Accessories,3,250000,0,750000.0
ORD265838,CUST0175,2023-08-22,Laptop Pro X1,Electronics,3,12000000,0,36000000.0
ORD539792,CUST0079,2024-11-22,External SSD,Storage,1,1100000,0,1100000.0
ORD840976,CUST0089,2024-01-22,Webcam HD,Peripherals,2,750000,20,1200000.0
ORD781669,CUST0342,2024-11-14,Wireless Headset,Audio,1,800000,0,800000.0
ORD561079,CUST0410,2024-02-05,External SSD,Storage,3,1100000,0,3300000.0
ORD518400,CUST0971,2024-05-25,USB-C Hub,Accessories,3,500000,0,1500000.0
ORD851102,CUST0183,2024-02-07,Mechanical Keyboard,Peripherals,4,1200000,0,4800000.0
ORD373255,CUST0362,2024-10-01,4K Monitor,Electronics,1,4500000,0,4500000.0
ORD654594,CUST0123,2023-05-31,Smart Speaker,Audio,2,900000,0,1800000.0
ORD786976,CUST0063,2024-07-25,Smart Speaker,Audio,4,900000,0,3600000.0
ORD798002,CUST0815,2023-01-09,Gaming Chair,Furniture,4,3200000,10,11520000.0
ORD522515,CUST0815,2023-04-30,External SSD,Storage,2,1100000,0,2200000.0
ORD881474,CUST0953,2023-12-04,Wireless Headset,Audio,4,800000,5,3040000.0
ORD759347,CUST0081,2024-02-02,Laptop Pro X1,Electronics,4,12000000,0,48000000.0
ORD825451,CUST0540,2024-10-01,Mechanical Keyboard,Peripherals,1,1200000,5,1140000.0
ORD234508,CUST0346,2024-10-31,USB-C Hub,Accessories,2,350000,0,700000.0
ORD469599,CUST0831,2024-08-31,Wireless Headset,Audio,1,800000,15,680000.0
ORD730271,CUST0083,2024-06-30,Mechanical Keyboard,Peripherals,4,1200000,0,4800000.0
ORD920260,CUST0893,2023-04-09,Gaming Chair,Furniture,2,3200000,15,5440000.0
ORD748307,CUST0155,2023-04-09,Gaming Chair,Furniture,3,3200000,0,9600000.0
ORD650929,CUST0139,2023-09-13,Webcam HD,Peripherals,1,750000,5,712500.0
ORD172991,CUST0886,2024-11-16,Desk Lamp LED,Accessories,3,500000,5,1425000.0
ORD493002,CUST0130,2023-04-14,Desk Lamp LED,Accessories,2,250000,10,450000.0
ORD653880,CUST0200,2024-06-21,Desk Lamp LED,Accessories,3,250000,5,712500.0
ORD364512,CUST0030,2023-02-05,Webcam HD,Peripherals,1,750000,0,750000.0
ORD766326,CUST0143,2023-05-23,Mechanical Keyboard,Peripherals,3,1200000,5,3420000.0
ORD155609,CUST0119,2023-07-09,Desk Lamp LED,Accessories,3,250000,15,637500.0
ORD213632,CUST0091,2023-02-23,Desk Lamp LED,Accessories,2,250000,10,450000.0
ORD289407,CUST0098,2023-07-15,Gaming Chair,Furniture,3,3200000,5,9120000.0
ORD903451,CUST0195,2024-10-17,Webcam HD,Peripherals,4,750000,10,2700000.0
ORD650233,CUST0015,2024-08-26,External SSD,Storage,3,1100000,0,3300000.0
ORD478496,CUST0933,2024-01-28,Webcam HD,Peripherals,3,750000,0,2250000.0
ORD120056,CUST0057,2024-09-29,Wireless Headset,Audio,4,500000,5,1900000.0
ORD352764,CUST0101,2024-03-22,Webcam HD,Peripherals,4,750000,0,3000000.0
ORD647337,CUST0171,2023-12-23,Laptop Pro X1,Electronics,2,12000000,15,20400000.0
ORD291232,CUST0797,2024-10-20,4K Monitor,Electronics,3,4500000,5,12825000.0
ORD825948,CUST0642,2024-01-15,Wireless Headset,Audio,3,800000,5,2280000.0
ORD707274,CUST0895,2024-02-21,Mechanical Keyboard,Peripherals,1,1200000,0,1200000.0
ORD651638,CUST0025,2024-05-13,Wireless Headset,Audio,1,800000,0,800000.0
ORD943890,CUST0115,2024-08-24,Desk Lamp LED,Accessories,2,250000,0,500000.0
ORD631831,CUST0043,2024-05-07,Gaming Chair,Furniture,2,3200000,10,5760000.0
ORD791095,CUST0647,2024-01-29,Smart Speaker,Audio,4,900000,10,3240000.0
ORD500573,CUST0983,2023-04-06,4K Monitor,Electronics,2,4500000,5,8550000.0
ORD514568,CUST0086,2023-10-06,Webcam HD,Peripherals,1,750000,0,750000.0
ORD166234,CUST0193,2024-12-29,4K Monitor,Electronics,4,4500000,0,18000000.0
ORD159163,CUST0020,2023-03-17,Smart Speaker,Audio,3,900000,20,2160000.0
ORD750308,CUST0912,2024-01-02,Mechanical Keyboard,Peripherals,2,500000,0,1000000.0
ORD389336,CUST0119,2024-07-18,Gaming Chair,Furniture,4,3200000,0,12800000.0
ORD633636,CUST0876,2024-02-02,Desk Lamp LED,Accessories,3,250000,10,675000.0
ORD313945,CUST0197,2024-08-10,Wireless Headset,Audio,3,800000,5,2280000.0
ORD818216,CUST0037,2024-10-14,Webcam HD,Peripherals,2,750000,10,1350000.0
ORD128295,CUST0472,2023-06-14,Gaming Chair,Furniture,1,3200000,0,3200000.0
ORD494540,CUST0134,2024-05-25,4K Monitor,Electronics,1,4500000,10,4050000.0
ORD911721,CUST0136,2023-07-01,Mechanical Keyboard,Peripherals,1,1200000,15,1020000.0
ORD890141,CUST0041,2024-10-14,Mechanical Keyboard,Peripherals,1,1200000,0,1200000.0
ORD966651,CUST0043,2023-01-01,Smart Speaker,Audio,3,900000,20,2160000.0
ORD922827,CUST0135,2023-04-27,Laptop Pro X1,Electronics,1,12000000,20,9600000.0
ORD383876,CUST0201,2023-08-01,Gaming Chair,Furniture,4,3200000,0,12800000.0
ORD924845,CUST0452,2023-02-16,Smart Speaker,Audio,2,900000,0,1800000.0
ORD255576,CUST0993,2023-09-16,USB-C Hub,Accessories,2,350000,15,595000.0
ORD260775,CUST0926,2024-02-12,External SSD,Storage,2,1100000,0,2200000.0
ORD520571,CUST0365,2023-11-12,External SSD,Storage,2,1100000,0,2200000.0
ORD417428,CUST0094,2023-05-25,USB-C Hub,Accessories,3,350000,10,945000.0
ORD673695,CUST0433,2024-01-25,Mechanical Keyboard,Peripherals,1,1200000,5,1140000.0
ORD268964,CUST0855,2023-08-30,Desk Lamp LED,Accessories,4,250000,0,1000000.0
ORD228778,CUST0136,2023-08-12,Laptop Pro X1,Electronics,2,12000000,5,22800000.0
ORD904449,CUST0138,2024-11-19,USB-C Hub,Accessories,3,350000,0,1050000.0
ORD815460,CUST0049,2024-06-01,Gaming Chair,Furniture,4,3200000,20,10240000.0
ORD263273,CUST0994,2024-07-18,Gaming Chair,Furniture,3,3200000,0,9600000.0
ORD943523,CUST0087,2023-01-01,Smart Speaker,Audio,2,900000,0,1800000.0
ORD900921,CUST0410,2023-04-05,Wireless Headset,Audio,4,800000,0,3200000.0
ORD740053,CUST0172,2023-11-02,Mechanical Keyboard,Peripherals,3,1200000,20,2880000.0
ORD639542,CUST0032,2024-09-15,Smart Speaker,Audio,1,900000,10,810000.0
ORD427359,CUST0317,2024-03-10,Wireless Headset,Audio,3,800000,0,2400000.0
ORD555102,CUST0127,2023-12-01,Wireless Headset,Audio,2,800000,10,1440000.0
ORD170390,CUST0198,2023-12-01,Laptop Pro X1,Electronics,4,12000000,5,45600000.0
ORD610736,CUST0456,2023-07-03,4K Monitor,Electronics,2,4500000,0,9000000.0
ORD728861,CUST0166,2023-02-22,Wireless Headset,Audio,2,800000,5,1520000.0
ORD302846,CUST0087,2024-10-24,Mechanical Keyboard,Peripherals,3,1200000,0,3600000.0
ORD314879,CUST0456,2024-11-26,4K Monitor,Electronics,4,4500000,0,18000000.0
ORD157108,CUST0402,2024-09-25,Wireless Headset,Audio,1,800000,0,800000.0
ORD247979,CUST0101,2024-05-27,USB-C Hub,Accessories,1,350000,0,350000.0
ORD909006,CUST0132,2023-03-14,Desk Lamp LED,Accessories,1,500000,5,475000.0
ORD572930,CUST0030,2023-09-14,Laptop Pro X1,Electronics,2,500000,0,1000000.0
ORD173686,CUST0076,2024-06-09,External SSD,Storage,2,1100000,5,2090000.0
ORD760482,CUST0497,2024-11-29,Desk Lamp LED,Accessories,2,250000,15,425000.0
ORD531734,CUST0185,2023-01-15,Wireless Headset,Audio,2,800000,0,1600000.0
ORD870173,CUST0008,2023-08-19,Smart Speaker,Audio,1,500000,0,500000.0
ORD706440,CUST0803,2024-08-02,4K Monitor,Electronics,1,4500000,0,4500000.0
ORD181264,CUST0032,2024-09-14,USB-C Hub,Accessories,2,350000,5,665000.0
ORD699991,CUST0137,2024-11-22,Gaming Chair,Furniture,2,3200000,0,6400000.0
ORD216421,CUST0119,2024-03-12,Smart Speaker,Audio,1,900000,0,900000.0
ORD518034,CUST0176,2023-05-17,External SSD,Storage,3,500000,0,1500000.0
ORD784106,CUST0455,2023-01-06,External SSD,Storage,3,1100000,15,2805000.0
ORD360669,CUST0671,2024-05-18,Laptop Pro X1,Electronics,2,12000000,15,20400000.0
ORD237541,CUST0203,2024-03-10,External SSD,Storage,2,1100000,20,1760000.0
ORD489678,CUST0480,2024-06-15,4K Monitor,Electronics,1,4500000,10,4050000.0
ORD467436,CUST0583,2023-05-19,USB-C Hub,Accessories,1,350000,5,332500.0
ORD503081,CUST0019,2023-01-10,Wireless Headset,Audio,4,800000,20,2560000.0
ORD208872,CUST0117,2023-11-17,Wireless Headset,Audio,4,800000,10,2880000.0
ORD468432,CUST0273,2024-02-23,External SSD,Storage,2,1100000,15,1870000.0
ORD820801,CUST0543,2024-01-11,Wireless Headset,Audio,2,800000,0,1600000.0
ORD632295,CUST0024,2024-07-25,External SSD,Storage,4,1100000,10,3960000.0
ORD779290,CUST0551,2023-06-14,Mechanical Keyboard,Peripherals,1,1200000,5,1140000.0
